Roll_No,Semester,Subject,Attendance
IT2021001,1,Communication Skills,81.7
IT2021001,1,Digital Electronics,81.2
IT2021001,1,Mathematics I,78.1
IT2021001,1,Python Programming,84.6
IT2021001,2,Data Structures,82.7
IT2021001,2,Database Management Systems,83.8
IT2021001,2,Statistics,82.2
IT2021001,2,Web Development,78.2
IT2021001,3,Computer Networks,79.5
IT2021001,3,Operating Systems,82.5
IT2021001,3,Python for Data Analytics,84.0
IT2021001,3,Software Engineering,84.4
IT2021001,4,Artificial Intelligence,77.4
IT2021001,4,Cloud Computing,81.8
IT2021001,4,Data Visualization,79.9
IT2021001,4,Java Programming,77.7
IT2021001,5,Big Data Analytics,79.5
IT2021001,5,Business Intelligence,76.1
IT2021001,5,Cyber Security,74.1
IT2021001,5,Machine Learning,80.7
IT2021001,6,Data Science,89.0
IT2021001,6,Deep Learning,74.0
IT2021001,6,Major Project,82.0
IT2021001,6,Professional Ethics,77.0
IT2021002,1,Communication Skills,93.2
IT2021002,1,Digital Electronics,94.2
IT2021002,1,Mathematics I,94.8
IT2021002,1,Python Programming,94.0
IT2021002,2,Data Structures,97.3
IT2021002,2,Database Management Systems,88.3
IT2021002,2,Statistics,92.6
IT2021002,2,Web Development,99.0
IT2021002,3,Computer Networks,98.2
IT2021002,3,Operating Systems,94.5
IT2021002,3,Python for Data Analytics,91.7
IT2021002,3,Software Engineering,96.6
IT2021002,4,Artificial Intelligence,92.3
IT2021002,4,Cloud Computing,95.8
IT2021002,4,Data Visualization,89.4
IT2021002,4,Java Programming,98.6
IT2021002,5,Big Data Analytics,98.9
IT2021002,5,Business Intelligence,92.8
IT2021002,5,Cyber Security,95.6
IT2021002,5,Machine Learning,93.5
IT2021002,6,Data Science,92.0
IT2021002,6,Deep Learning,95.0
IT2021002,6,Major Project,99.0
IT2021002,6,Professional Ethics,98.0
IT2021003,1,Communication Skills,72.6
IT2021003,1,Digital Electronics,76.2
IT2021003,1,Mathematics I,74.5
IT2021003,1,Python Programming,73.2
IT2021003,2,Data Structures,76.5
IT2021003,2,Database Management Systems,70.1
IT2021003,2,Statistics,71.2
IT2021003,2,Web Development,69.4
IT2021003,3,Computer Networks,69.3
IT2021003,3,Operating Systems,71.0
IT2021003,3,Python for Data Analytics,74.1
IT2021003,3,Software Engineering,72.8
IT2021003,4,Artificial Intelligence,72.4
IT2021003,4,Cloud Computing,75.8
IT2021003,4,Data Visualization,74.8
IT2021003,4,Java Programming,73.5
IT2021003,5,Big Data Analytics,71.3
IT2021003,5,Business Intelligence,68.2
IT2021003,5,Cyber Security,69.3
IT2021003,5,Machine Learning,73.7
IT2021003,6,Data Science,66.0
IT2021003,6,Deep Learning,77.0
IT2021003,6,Major Project,71.0
IT2021003,6,Professional Ethics,80.0
IT2021004,1,Communication Skills,80.5
IT2021004,1,Digital Electronics,70.5
IT2021004,1,Mathematics I,79.4
IT2021004,1,Python Programming,83.0
IT2021004,2,Data Structures,86.4
IT2021004,2,Database Management Systems,86.4
IT2021004,2,Statistics,79.5
IT2021004,2,Web Development,79.7
IT2021004,3,Computer Networks,85.0
IT2021004,3,Operating Systems,83.3
IT2021004,3,Python for Data Analytics,85.5
IT2021004,3,Software Engineering,80.9
IT2021004,4,Artificial Intelligence,88.6
IT2021004,4,Cloud Computing,85.3
IT2021004,4,Data Visualization,82.7
IT2021004,4,Java Programming,86.7
IT2021004,5,Big Data Analytics,87.3
IT2021004,5,Business Intelligence,80.2
IT2021004,5,Cyber Security,84.2
IT2021004,5,Machine Learning,86.0
IT2021004,6,Data Science,73.0
IT2021004,6,Deep Learning,87.0
IT2021004,6,Major Project,85.0
IT2021004,6,Professional Ethics,87.0
