Roll_No,Semester,Subject,Attendance
IT2026001,1,Python Programming,77
IT2026001,1,Mathematics I,76
IT2026001,1,Communication Skills,74
IT2026001,1,Digital Electronics,71
IT2026002,1,Python Programming,84
IT2026002,1,Mathematics I,81
IT2026002,1,Communication Skills,79
IT2026002,1,Digital Electronics,83
IT2026003,1,Python Programming,74
IT2026003,1,Mathematics I,86
IT2026003,1,Communication Skills,75
IT2026003,1,Digital Electronics,85
IT2026004,1,Python Programming,95
IT2026004,1,Mathematics I,97
IT2026004,1,Communication Skills,93
IT2026004,1,Digital Electronics,98
IT2026005,1,Python Programming,82
IT2026005,1,Mathematics I,87
IT2026005,1,Communication Skills,81
IT2026005,1,Digital Electronics,82
IT2026006,1,Python Programming,77
IT2026006,1,Mathematics I,89
IT2026006,1,Communication Skills,77
IT2026006,1,Digital Electronics,84
IT2026007,1,Python Programming,83
IT2026007,1,Mathematics I,71
IT2026007,1,Communication Skills,85
IT2026007,1,Digital Electronics,77
IT2026008,1,Python Programming,96
IT2026008,1,Mathematics I,100
IT2026008,1,Communication Skills,99
IT2026008,1,Digital Electronics,96
IT2026009,1,Python Programming,85
IT2026009,1,Mathematics I,71
IT2026009,1,Communication Skills,84
IT2026009,1,Digital Electronics,81
IT2026010,1,Python Programming,71
IT2026010,1,Mathematics I,71
IT2026010,1,Communication Skills,68
IT2026010,1,Digital Electronics,74
IT2026011,1,Python Programming,85
IT2026011,1,Mathematics I,91
IT2026011,1,Communication Skills,94
IT2026011,1,Digital Electronics,84
IT2026012,1,Python Programming,87
IT2026012,1,Mathematics I,76
IT2026012,1,Communication Skills,74
IT2026012,1,Digital Electronics,74
IT2026013,1,Python Programming,78
IT2026013,1,Mathematics I,70
IT2026013,1,Communication Skills,81
IT2026013,1,Digital Electronics,80
IT2026014,1,Python Programming,86
IT2026014,1,Mathematics I,93
IT2026014,1,Communication Skills,83
IT2026014,1,Digital Electronics,89
IT2026015,1,Python Programming,81
IT2026015,1,Mathematics I,86
IT2026015,1,Communication Skills,71
IT2026015,1,Digital Electronics,70
IT2026016,1,Python Programming,82
IT2026016,1,Mathematics I,73
IT2026016,1,Communication Skills,84
IT2026016,1,Digital Electronics,80
IT2026017,1,Python Programming,74
IT2026017,1,Mathematics I,88
IT2026017,1,Communication Skills,89
IT2026017,1,Digital Electronics,86
IT2026018,1,Python Programming,63
IT2026018,1,Mathematics I,66
IT2026018,1,Communication Skills,67
IT2026018,1,Digital Electronics,74
IT2026019,1,Python Programming,93
IT2026019,1,Mathematics I,88
IT2026019,1,Communication Skills,86
IT2026019,1,Digital Electronics,92
IT2026020,1,Python Programming,83
IT2026020,1,Mathematics I,83
IT2026020,1,Communication Skills,93
IT2026020,1,Digital Electronics,94
IT2026021,1,Python Programming,82
IT2026021,1,Mathematics I,90
IT2026021,1,Communication Skills,83
IT2026021,1,Digital Electronics,95
IT2026022,1,Python Programming,90
IT2026022,1,Mathematics I,95
IT2026022,1,Communication Skills,92
IT2026022,1,Digital Electronics,93
IT2026023,1,Python Programming,87
IT2026023,1,Mathematics I,78
IT2026023,1,Communication Skills,83
IT2026023,1,Digital Electronics,78
IT2026024,1,Python Programming,86
IT2026024,1,Mathematics I,87
IT2026024,1,Communication Skills,84
IT2026024,1,Digital Electronics,91
IT2026025,1,Python Programming,74
IT2026025,1,Mathematics I,86
IT2026025,1,Communication Skills,83
IT2026025,1,Digital Electronics,75
IT2026026,1,Python Programming,80
IT2026026,1,Mathematics I,74
IT2026026,1,Communication Skills,89
IT2026026,1,Digital Electronics,72
IT2026027,1,Python Programming,100
IT2026027,1,Mathematics I,99
IT2026027,1,Communication Skills,94
IT2026027,1,Digital Electronics,95
IT2026028,1,Python Programming,94
IT2026028,1,Mathematics I,98
IT2026028,1,Communication Skills,90
IT2026028,1,Digital Electronics,99
IT2026029,1,Python Programming,66
IT2026029,1,Mathematics I,64
IT2026029,1,Communication Skills,70
IT2026029,1,Digital Electronics,75
IT2026030,1,Python Programming,74
IT2026030,1,Mathematics I,77
IT2026030,1,Communication Skills,82
IT2026030,1,Digital Electronics,70
IT2026031,1,Python Programming,80
IT2026031,1,Mathematics I,82
IT2026031,1,Communication Skills,73
IT2026031,1,Digital Electronics,80
IT2026032,1,Python Programming,89
IT2026032,1,Mathematics I,81
IT2026032,1,Communication Skills,73
IT2026032,1,Digital Electronics,88
IT2026033,1,Python Programming,72
IT2026033,1,Mathematics I,79
IT2026033,1,Communication Skills,80
IT2026033,1,Digital Electronics,86
IT2026034,1,Python Programming,90
IT2026034,1,Mathematics I,94
IT2026034,1,Communication Skills,93
IT2026034,1,Digital Electronics,95
IT2026035,1,Python Programming,73
IT2026035,1,Mathematics I,76
IT2026035,1,Communication Skills,74
IT2026035,1,Digital Electronics,85
IT2026036,1,Python Programming,78
IT2026036,1,Mathematics I,78
IT2026036,1,Communication Skills,80
IT2026036,1,Digital Electronics,74
IT2026037,1,Python Programming,84
IT2026037,1,Mathematics I,78
IT2026037,1,Communication Skills,86
IT2026037,1,Digital Electronics,84
IT2026038,1,Python Programming,82
IT2026038,1,Mathematics I,83
IT2026038,1,Communication Skills,91
IT2026038,1,Digital Electronics,88
IT2026039,1,Python Programming,87
IT2026039,1,Mathematics I,88
IT2026039,1,Communication Skills,89
IT2026039,1,Digital Electronics,74
IT2026040,1,Python Programming,63
IT2026040,1,Mathematics I,62
IT2026040,1,Communication Skills,65
IT2026040,1,Digital Electronics,74
IT2026041,1,Python Programming,86
IT2026041,1,Mathematics I,81
IT2026041,1,Communication Skills,83
IT2026041,1,Digital Electronics,89
IT2026042,1,Python Programming,80
IT2026042,1,Mathematics I,73
IT2026042,1,Communication Skills,78
IT2026042,1,Digital Electronics,72
IT2026043,1,Python Programming,79
IT2026043,1,Mathematics I,89
IT2026043,1,Communication Skills,87
IT2026043,1,Digital Electronics,80
IT2026044,1,Python Programming,76
IT2026044,1,Mathematics I,73
IT2026044,1,Communication Skills,60
IT2026044,1,Digital Electronics,65
IT2026045,1,Python Programming,85
IT2026045,1,Mathematics I,74
IT2026045,1,Communication Skills,79
IT2026045,1,Digital Electronics,87
IT2026046,1,Python Programming,70
IT2026046,1,Mathematics I,72
IT2026046,1,Communication Skills,65
IT2026046,1,Digital Electronics,74
IT2026047,1,Python Programming,81
IT2026047,1,Mathematics I,89
IT2026047,1,Communication Skills,84
IT2026047,1,Digital Electronics,77
IT2026048,1,Python Programming,85
IT2026048,1,Mathematics I,88
IT2026048,1,Communication Skills,79
IT2026048,1,Digital Electronics,86
IT2026049,1,Python Programming,66
IT2026049,1,Mathematics I,68
IT2026049,1,Communication Skills,75
IT2026049,1,Digital Electronics,63
IT2026050,1,Python Programming,95
IT2026050,1,Mathematics I,83
IT2026050,1,Communication Skills,86
IT2026050,1,Digital Electronics,84
IT2026051,1,Python Programming,83
IT2026051,1,Mathematics I,87
IT2026051,1,Communication Skills,82
IT2026051,1,Digital Electronics,87
IT2026052,1,Python Programming,83
IT2026052,1,Mathematics I,82
IT2026052,1,Communication Skills,95
IT2026052,1,Digital Electronics,87
IT2026053,1,Python Programming,71
IT2026053,1,Mathematics I,85
IT2026053,1,Communication Skills,85
IT2026053,1,Digital Electronics,70
IT2026054,1,Python Programming,78
IT2026054,1,Mathematics I,74
IT2026054,1,Communication Skills,79
IT2026054,1,Digital Electronics,73
IT2026055,1,Python Programming,83
IT2026055,1,Mathematics I,73
IT2026055,1,Communication Skills,87
IT2026055,1,Digital Electronics,86
IT2026056,1,Python Programming,74
IT2026056,1,Mathematics I,70
IT2026056,1,Communication Skills,88
IT2026056,1,Digital Electronics,72
IT2026057,1,Python Programming,86
IT2026057,1,Mathematics I,85
IT2026057,1,Communication Skills,82
IT2026057,1,Digital Electronics,70
IT2026058,1,Python Programming,62
IT2026058,1,Mathematics I,80
IT2026058,1,Communication Skills,78
IT2026058,1,Digital Electronics,61
IT2026059,1,Python Programming,87
IT2026059,1,Mathematics I,84
IT2026059,1,Communication Skills,89
IT2026059,1,Digital Electronics,92
IT2026060,1,Python Programming,74
IT2026060,1,Mathematics I,84
IT2026060,1,Communication Skills,76
IT2026060,1,Digital Electronics,76
IT2025001,2,Data Structures,79
IT2025001,2,Database Management Systems,87
IT2025001,2,Statistics,71
IT2025001,2,Web Development,81
IT2025002,2,Data Structures,95
IT2025002,2,Database Management Systems,86
IT2025002,2,Statistics,88
IT2025002,2,Web Development,88
IT2025003,2,Data Structures,85
IT2025003,2,Database Management Systems,86
IT2025003,2,Statistics,72
IT2025003,2,Web Development,83
IT2025004,2,Data Structures,79
IT2025004,2,Database Management Systems,72
IT2025004,2,Statistics,79
IT2025004,2,Web Development,89
IT2025005,2,Data Structures,92
IT2025005,2,Database Management Systems,95
IT2025005,2,Statistics,95
IT2025005,2,Web Development,94
IT2025006,2,Data Structures,83
IT2025006,2,Database Management Systems,88
IT2025006,2,Statistics,94
IT2025006,2,Web Development,84
IT2025007,2,Data Structures,89
IT2025007,2,Database Management Systems,74
IT2025007,2,Statistics,81
IT2025007,2,Web Development,88
IT2025008,2,Data Structures,74
IT2025008,2,Database Management Systems,81
IT2025008,2,Statistics,72
IT2025008,2,Web Development,81
IT2025009,2,Data Structures,78
IT2025009,2,Database Management Systems,70
IT2025009,2,Statistics,86
IT2025009,2,Web Development,73
IT2025010,2,Data Structures,97
IT2025010,2,Database Management Systems,97
IT2025010,2,Statistics,92
IT2025010,2,Web Development,97
IT2025011,2,Data Structures,84
IT2025011,2,Database Management Systems,80
IT2025011,2,Statistics,72
IT2025011,2,Web Development,75
IT2025012,2,Data Structures,81
IT2025012,2,Database Management Systems,76
IT2025012,2,Statistics,85
IT2025012,2,Web Development,87
IT2025013,2,Data Structures,97
IT2025013,2,Database Management Systems,99
IT2025013,2,Statistics,94
IT2025013,2,Web Development,98
