Roll_No,Semester,Subject,Internal,External,Total,Grade
IT2026001,1,Python Programming,19,47,66,B+
IT2026001,1,Mathematics I,20,38,58,B
IT2026001,1,Communication Skills,19,45,64,B+
IT2026001,1,Digital Electronics,16,45,61,B+
IT2026002,1,Python Programming,19,47,66,B+
IT2026002,1,Mathematics I,15,44,59,B
IT2026002,1,Communication Skills,17,36,53,B
IT2026002,1,Digital Electronics,20,46,66,B+
IT2026003,1,Python Programming,17,38,55,B
IT2026003,1,Mathematics I,20,43,63,B+
IT2026003,1,Communication Skills,19,48,67,B+
IT2026003,1,Digital Electronics,19,48,67,B+
IT2026004,1,Python Programming,30,64,94,O
IT2026004,1,Mathematics I,30,58,88,A+
IT2026004,1,Communication Skills,24,59,83,A+
IT2026004,1,Digital Electronics,30,67,97,O
IT2026005,1,Python Programming,20,36,56,B
IT2026005,1,Mathematics I,15,39,54,B
IT2026005,1,Communication Skills,16,42,58,B
IT2026005,1,Digital Electronics,19,44,63,B+
IT2026006,1,Python Programming,20,36,56,B
IT2026006,1,Mathematics I,22,35,57,B
IT2026006,1,Communication Skills,20,44,64,B+
IT2026006,1,Digital Electronics,16,45,61,B+
IT2026007,1,Python Programming,19,45,64,B+
IT2026007,1,Mathematics I,16,37,53,B
IT2026007,1,Communication Skills,15,39,54,B
IT2026007,1,Digital Electronics,16,36,52,B
IT2026008,1,Python Programming,28,59,87,A+
IT2026008,1,Mathematics I,27,66,93,O
IT2026008,1,Communication Skills,29,68,97,O
IT2026008,1,Digital Electronics,29,59,88,A+
IT2026009,1,Python Programming,16,48,64,B+
IT2026009,1,Mathematics I,21,39,60,B+
IT2026009,1,Communication Skills,20,38,58,B
IT2026009,1,Digital Electronics,22,38,60,B+
IT2026010,1,Python Programming,11,35,46,C
IT2026010,1,Mathematics I,18,35,53,B
IT2026010,1,Communication Skills,10,31,41,C
IT2026010,1,Digital Electronics,13,26,39,F
IT2026011,1,Python Programming,20,58,78,A
IT2026011,1,Mathematics I,25,58,83,A+
IT2026011,1,Communication Skills,20,48,68,B+
IT2026011,1,Digital Electronics,22,51,73,A
IT2026012,1,Python Programming,18,36,54,B
IT2026012,1,Mathematics I,18,44,62,B+
IT2026012,1,Communication Skills,18,40,58,B
IT2026012,1,Digital Electronics,15,39,54,B
IT2026013,1,Python Programming,17,43,60,B+
IT2026013,1,Mathematics I,17,36,53,B
IT2026013,1,Communication Skills,17,35,52,B
IT2026013,1,Digital Electronics,18,44,62,B+
IT2026014,1,Python Programming,20,50,70,A
IT2026014,1,Mathematics I,20,50,70,A
IT2026014,1,Communication Skills,23,56,79,A
IT2026014,1,Digital Electronics,25,49,74,A
IT2026015,1,Python Programming,22,47,69,B+
IT2026015,1,Mathematics I,16,42,58,B
IT2026015,1,Communication Skills,18,44,62,B+
IT2026015,1,Digital Electronics,19,42,61,B+
IT2026016,1,Python Programming,15,42,57,B
IT2026016,1,Mathematics I,21,45,66,B+
IT2026016,1,Communication Skills,22,46,68,B+
IT2026016,1,Digital Electronics,16,36,52,B
IT2026017,1,Python Programming,17,36,53,B
IT2026017,1,Mathematics I,19,44,63,B+
IT2026017,1,Communication Skills,20,41,61,B+
IT2026017,1,Digital Electronics,19,42,61,B+
IT2026018,1,Python Programming,16,26,42,C
IT2026018,1,Mathematics I,18,36,54,B
IT2026018,1,Communication Skills,16,32,48,C
IT2026018,1,Digital Electronics,16,30,46,C
