Roll_No,Semester,Subject,Internal,External,Total,Grade
IT2021001,1,Communication Skills,19,42,61,B+
IT2021001,1,Digital Electronics,16,47,63,B+
IT2021001,1,Mathematics I,20,44,64,B+
IT2021001,1,Python Programming,17,45,62,B+
IT2021001,2,Data Structures,22,49,71,A
IT2021001,2,Database Management Systems,19,42,61,B+
IT2021001,2,Statistics,19,48,67,B+
IT2021001,2,Web Development,19,46,65,B+
IT2021001,3,Computer Networks,18,43,61,B+
IT2021001,3,Operating Systems,17,41,58,B
IT2021001,3,Python for Data Analytics,17,40,57,B
IT2021001,3,Software Engineering,15,41,56,B
IT2021001,4,Artificial Intelligence,20,48,68,B+
IT2021001,4,Cloud Computing,18,39,57,B
IT2021001,4,Data Visualization,19,45,64,B+
IT2021001,4,Java Programming,18,37,55,B
IT2021001,5,Big Data Analytics,20,45,65,B+
IT2021001,5,Business Intelligence,20,47,67,B+
IT2021001,5,Cyber Security,20,42,62,B+
IT2021001,5,Machine Learning,21,44,65,B+
IT2021001,6,Data Science,16,41,57,B
IT2021001,6,Deep Learning,17,46,63,B+
IT2021001,6,Major Project,20,43,63,B+
IT2021001,6,Professional Ethics,21,44,65,B+
IT2021002,1,Communication Skills,24,63,87,A+
IT2021002,1,Digital Electronics,29,55,84,A+
IT2021002,1,Mathematics I,24,63,87,A+
IT2021002,1,Python Programming,26,68,94,O
IT2021002,2,Data Structures,28,66,94,O
IT2021002,2,Database Management Systems,26,63,89,A+
IT2021002,2,Statistics,26,63,89,A+
IT2021002,2,Web Development,25,70,95,O
IT2021002,3,Computer Networks,22,68,90,O
IT2021002,3,Operating Systems,27,70,97,O
IT2021002,3,Python for Data Analytics,26,64,90,O
IT2021002,3,Software Engineering,24,66,90,O
IT2021002,4,Artificial Intelligence,25,64,89,A+
IT2021002,4,Cloud Computing,28,68,96,O
IT2021002,4,Data Visualization,26,61,87,A+
IT2021002,4,Java Programming,26,63,89,A+
IT2021002,5,Big Data Analytics,28,70,98,O
IT2021002,5,Business Intelligence,27,67,94,O
IT2021002,5,Cyber Security,26,69,95,O
IT2021002,5,Machine Learning,26,59,85,A+
IT2021002,6,Data Science,26,69,95,O
IT2021002,6,Deep Learning,26,67,93,O
IT2021002,6,Major Project,25,68,93,O
IT2021002,6,Professional Ethics,29,64,93,O
IT2021003,1,Communication Skills,15,27,42,C
IT2021003,1,Digital Electronics,14,31,45,C
IT2021003,1,Mathematics I,12,24,36,F
IT2021003,1,Python Programming,15,33,48,C
IT2021003,2,Data Structures,13,31,44,C
IT2021003,2,Database Management Systems,12,30,42,C
IT2021003,2,Statistics,11,33,44,C
IT2021003,2,Web Development,14,26,40,C
IT2021003,3,Computer Networks,13,25,38,F
IT2021003,3,Operating Systems,12,28,40,C
IT2021003,3,Python for Data Analytics,13,38,51,B
